Book Identity ID,Inventory ID,Title,Author,Format,Size MB,Pages,Text Quality,Domain,Likely Hearth Nodes,Clean Status,Source Role,Canonical Copy,Duplicate Group,Duplicate Of Inventory ID,Canonical Local File,Next Action,Local File
book-id-041,book-074,The Cambridge Handbook of Expertise and Expert Performance (2006),"K. Anders Ericsson, Neil Charness, Paul J. Feltovich, Robert R.",pdf,11.1,919,text-based / extraction likely good,Learning Science / Music Cognition,Hearth; Practice; Mastery; Study,Active Source,Curriculum spine source,Yes,,,"/Users/alessandralove/Downloads/LEARNING/ K. Anders Ericsson, Neil Charness, Paul J. Feltovich, Robert R. - The Cambridge Handbook of Expertise and Expert Performance (2006) - libgen.li.pdf",Make source notes after inventory pass,"/Users/alessandralove/Downloads/LEARNING/ K. Anders Ericsson, Neil Charness, Paul J. Feltovich, Robert R. - The Cambridge Handbook of Expertise and Expert Performance (2006) - libgen.li.pdf"
book-id-042,book-073,"Development of Professional Expertise Toward Measurement of Expert Performance and Design of Optimal Learning Environments (2009, Cambridge University Press)",K. Anders Ericsson,pdf,3.5,570,text-based / extraction likely good,Learning Science / Music Cognition,Hearth; Practice; Mastery; Study,Active Source,Curriculum spine source,Yes,,,"/Users/alessandralove/Downloads/LEARNING/ K. Anders Ericsson - Development of Professional Expertise_ Toward Measurement of Expert Performance and Design of Optimal Learning Environments (2009, Cambridge University Press) - libgen.li.pdf",Make source notes after inventory pass,"/Users/alessandralove/Downloads/LEARNING/ K. Anders Ericsson - Development of Professional Expertise_ Toward Measurement of Expert Performance and Design of Optimal Learning Environments (2009, Cambridge University Press) - libgen.li.pdf"
book-id-043,book-026,"Music as Discourse Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA)",Kofi Agawu,pdf,6.8,345,text-based / extraction likely good,Create / Composition,Study; Knowing; Create; Doing,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-043,book-075,"/Users/alessandralove/Downloads/LEARNING/ Kofi Agawu - Music as Discourse_ Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA) - libgen.li.pdf",Archive this duplicate path in catalogue only,"/Users/alessandralove/Downloads/Guitar Resources/ Kofi Agawu - Music as Discourse_ Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA) - libgen.li.pdf"
book-id-043,book-075,"Music as Discourse Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA)",Kofi Agawu,pdf,6.8,345,text-based / extraction likely good,Create / Composition,Study; Knowing; Create; Doing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,dup-book-id-043,,"/Users/alessandralove/Downloads/LEARNING/ Kofi Agawu - Music as Discourse_ Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA) - libgen.li.pdf",Use this copy as the working source,"/Users/alessandralove/Downloads/LEARNING/ Kofi Agawu - Music as Discourse_ Semiotic Adventures in Romantic Music (Oxford Studies in Music Theory) (2008, Oxford University Press, USA) - libgen.li.pdf"
book-id-044,book-027,"Berklee Practice Method Guitar (2001, Berklee Press Publications)",Larry Baione,pdf,6.8,168,scanned / OCR needed,Unclassified,Doing; Practice,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Larry Baione) - Berklee Practice Method_ Guitar (2001, Berklee Press Publications) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Larry Baione) - Berklee Practice Method_ Guitar (2001, Berklee Press Publications) - libgen.li.pdf"
book-id-045,book-028,"Maran Illustrated Guitar (2005, Thomson Course Technology PTR)",maranGraphics Development Group,pdf,85.0,302,scanned / OCR needed,Unclassified,To Review,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ maranGraphics Development Group - Maran Illustrated Guitar (2005, Thomson Course Technology PTR) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ maranGraphics Development Group - Maran Illustrated Guitar (2005, Thomson Course Technology PTR) - libgen.li.pdf"
book-id-046,book-057,"The Everything Music Theory Book A Complete Guide to Taking Your Understanding of Music to the Next Level (2012, Adams Media)",Marc Schonbrun,epub,3.1,N/A,EPUB / extraction likely good,Theory / Fretboard,Study; Knowing,Active Source,Curriculum spine source,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Marc Schonbrun - The Everything Music Theory Book_ A Complete Guide to Taking Your Understanding of Music to the Next Level (2012, Adams Media) - libgen.li.epub",Make source notes after inventory pass,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Marc Schonbrun - The Everything Music Theory Book_ A Complete Guide to Taking Your Understanding of Music to the Next Level (2012, Adams Media) - libgen.li.epub"
book-id-047,book-065,"The Everything Rock & Blues Guitar Book From Chords to Scales and Licks to Tricks, All You Need to Play Like the Greats (2003, Adams Media)",Marc Schonbrun,pdf,53.2,285,mixed / partial text,Style / Genre,Study; Knowing; Create; Doing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/[Everything Series] Marc Schonbrun - The Everything Rock & Blues Guitar Book_ From Chords to Scales and Licks to Tricks, All You Need to Play Like the Greats (2003, Adams Media) - libgen.li.pdf",Already intake-triaged; follow priority queue,"/Users/alessandralove/Downloads/Guitar Resources/Done/[Everything Series] Marc Schonbrun - The Everything Rock & Blues Guitar Book_ From Chords to Scales and Licks to Tricks, All You Need to Play Like the Greats (2003, Adams Media) - libgen.li.pdf"
book-id-048,book-066,"Guitar Exercises for Dummies (2009, Wiley Publishing)","Mark Phillips, Jon Chappell",pdf,14.9,240,text-based / extraction likely good,Technique / Practice,Foundation; Knowing; Doing; Practice,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/[For Dummies ] Mark Phillips, Jon Chappell - Guitar Exercises for Dummies (2009, Wiley Publishing) - libgen.li.pdf",Already intake-triaged; follow priority queue,"/Users/alessandralove/Downloads/Guitar Resources/Done/[For Dummies ] Mark Phillips, Jon Chappell - Guitar Exercises for Dummies (2009, Wiley Publishing) - libgen.li.pdf"
book-id-049,book-029,"Music Theory for Guitar An Introduction to the Essentials (Guitar Techniques) (1992, Hal Leonard Corporation)",Michael P. Wolfsohn,pdf,7.5,68,scanned / OCR needed,Theory / Fretboard,Doing; Practice; Study; Knowing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Michael P. Wolfsohn - Music Theory for Guitar_ An Introduction to the Essentials (Guitar Techniques) (1992, Hal Leonard Corporation) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Michael P. Wolfsohn - Music Theory for Guitar_ An Introduction to the Essentials (Guitar Techniques) (1992, Hal Leonard Corporation) - libgen.li.pdf"
book-id-050,book-030,"Mixing Secrets for the small studio (2011, Focal Press)",Mike Senior,pdf,7.8,353,text-based / extraction likely good,Recording / Production,Create; Doing,Private Library,Reference shelf / private library,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Mike Senior - Mixing Secrets for the small studio (2011, Focal Press) - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/ Mike Senior - Mixing Secrets for the small studio (2011, Focal Press) - libgen.li.pdf"
book-id-051,book-058,"Guitar Aerobics A 52-Week, One-lick-per-day Workout Program for Developing, Improving and Maintaining Guitar Technique (2007, HAL LEONARD CORPORATION)","Nelson, Troy",pdf,51.3,115,text-based / extraction likely good,Technique / Practice,Doing; Practice,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Nelson, Troy - Guitar Aerobics_ A 52-Week, One-lick-per-day Workout Program for Developing, Improving and Maintaining Guitar Technique (2007, HAL LEONARD CORPORATION) - libgen.li.pdf",Already intake-triaged; follow priority queue,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Nelson, Troy - Guitar Aerobics_ A 52-Week, One-lick-per-day Workout Program for Developing, Improving and Maintaining Guitar Technique (2007, HAL LEONARD CORPORATION) - libgen.li.pdf"
book-id-052,book-031,Guitar Building Blocks (1996),Patrick Stefurak,pdf,1.6,177,text-based / extraction likely good,Beginner / Reference,Foundation; Knowing,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-052,book-059,/Users/alessandralove/Downloads/Guitar Resources/Done/ Patrick Stefurak - Guitar Building Blocks (1996) - libgen.li.pdf,Archive this duplicate path in catalogue only,/Users/alessandralove/Downloads/Guitar Resources/ Patrick Stefurak - Guitar Building Blocks (1996) - libgen.li.pdf
book-id-052,book-059,Guitar Building Blocks (1996),Patrick Stefurak,pdf,1.6,177,text-based / extraction likely good,Beginner / Reference,Foundation; Knowing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,dup-book-id-052,,/Users/alessandralove/Downloads/Guitar Resources/Done/ Patrick Stefurak - Guitar Building Blocks (1996) - libgen.li.pdf,Use this copy as the working source,/Users/alessandralove/Downloads/Guitar Resources/Done/ Patrick Stefurak - Guitar Building Blocks (1996) - libgen.li.pdf
book-id-053,book-040,"BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED) - libgen.li (1)",PECKHAM RICK,pdf,1.0,45,text-based / extraction likely good,Style / Genre,Study; Knowing; Create; Doing,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-053,book-041,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Guide] PECKHAM RICK - BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED) - libgen.li.pdf",Archive this duplicate path in catalogue only,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Guide] PECKHAM RICK - BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED) - libgen.li (1).pdf"
book-id-053,book-041,"BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED)",PECKHAM RICK,pdf,1.0,45,text-based / extraction likely good,Style / Genre,Study; Knowing; Create; Doing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,dup-book-id-053,,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Guide] PECKHAM RICK - BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED) - libgen.li.pdf",Use this copy as the working source,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Guide] PECKHAM RICK - BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED) - libgen.li.pdf"
book-id-054,book-032,"The Science of Self-Learning How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.)",Peter Hollins,epub,0.6,N/A,EPUB / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-054,book-076,"/Users/alessandralove/Downloads/LEARNING/ Peter Hollins - The Science of Self-Learning_ How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.) - libgen.li.epub",Archive this duplicate path in catalogue only,"/Users/alessandralove/Downloads/Guitar Resources/ Peter Hollins - The Science of Self-Learning_ How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.) - libgen.li.epub"
book-id-054,book-076,"The Science of Self-Learning How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.)",Peter Hollins,epub,0.6,N/A,EPUB / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,dup-book-id-054,,"/Users/alessandralove/Downloads/LEARNING/ Peter Hollins - The Science of Self-Learning_ How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.) - libgen.li.epub",Use this copy as the working source,"/Users/alessandralove/Downloads/LEARNING/ Peter Hollins - The Science of Self-Learning_ How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.) - libgen.li.epub"
book-id-055,book-033,"The Music Instinct How Music Works and Why We Can't Do Without It (2010, Oxford University Press, USA)",Philip Ball,pdf,5.4,463,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-055,book-077,"/Users/alessandralove/Downloads/LEARNING/ Philip Ball - The Music Instinct_ How Music Works and Why We Can't Do Without It (2010, Oxford University Press, USA) - libgen.li.pdf",Archive this duplicate path in catalogue only,"/Users/alessandralove/Downloads/Guitar Resources/ Philip Ball - The Music Instinct_ How Music Works and Why We Can't Do Without It (2010, Oxford University Press, USA) - libgen.li.pdf"
book-id-055,book-077,"The Music Instinct How Music Works and Why We Can't Do Without It (2010, Oxford University Press, USA)",Philip Ball,pdf,5.4,463,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,dup-book-id-055,,"/Users/alessandralove/Downloads/LEARNING/ Philip Ball - The Music Instinct_ How Music Works and Why We Can't Do Without It (2010, Oxford University Press, USA) - libgen.li.pdf",Use this copy as the working source,"/Users/alessandralove/Downloads/LEARNING/ Philip Ball - The Music Instinct_ How Music Works and Why We Can't Do Without It (2010, Oxford University Press, USA) - libgen.li.pdf"
book-id-056,book-034,"Picture Chord Encyclopedia Photos & Diagrams for Over 2,600 Guitar Chords (2000, Hal Leonard Corporation)",,pdf,47.4,269,scanned / OCR needed,Unclassified,Study; Knowing,Private Library,Reference shelf / private library,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Picture Chord Encyclopedia_ Photos & Diagrams for Over 2,600 Guitar Chords (2000, Hal Leonard Corporation) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/ Picture Chord Encyclopedia_ Photos & Diagrams for Over 2,600 Guitar Chords (2000, Hal Leonard Corporation) - libgen.li.pdf"
book-id-057,book-060,"The Guitar Handbook (1992, Dorling Kindersley Knopf)",Ralph Denyer,pdf,88.3,256,scanned / OCR needed,Beginner / Reference,Foundation; Knowing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Ralph Denyer - The Guitar Handbook (1992, Dorling Kindersley_Knopf) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Ralph Denyer - The Guitar Handbook (1992, Dorling Kindersley_Knopf) - libgen.li.pdf"
book-id-058,book-035,"Right Hand Development For Jazz Guitar (1981, Columbia Pictures Publications)",Renard Hoover,pdf,2.2,47,text-based / extraction likely good,Style / Genre,Doing; Practice; Create,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Renard Hoover - Right Hand Development For Jazz Guitar (1981, Columbia Pictures Publications) - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/ Renard Hoover - Right Hand Development For Jazz Guitar (1981, Columbia Pictures Publications) - libgen.li.pdf"
book-id-059,book-036,"How to Write Songs on Guitar A Guitar-Playing and Songwriting Course (2000, Miller Freeman Books)",Rikky Rooksby,pdf,13.7,290,text-based / extraction likely good,Create / Composition,Create; Doing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Rikky Rooksby - How to Write Songs on Guitar_ A Guitar-Playing and Songwriting Course (2000, Miller Freeman Books) - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/ Rikky Rooksby - How to Write Songs on Guitar_ A Guitar-Playing and Songwriting Course (2000, Miller Freeman Books) - libgen.li.pdf"
book-id-060,book-048,"Funk Guitar The Essential Guide (Private Lessons) (2001, Musicians Institute Press)",Ross Bolton,pdf,7.6,33,scanned / OCR needed,Style / Genre,Create; Doing,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/[Private Lessons] Ross Bolton - Funk Guitar_ The Essential Guide (Private Lessons) (2001, Musicians Institute Press) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/[Private Lessons] Ross Bolton - Funk Guitar_ The Essential Guide (Private Lessons) (2001, Musicians Institute Press) - libgen.li.pdf"
book-id-061,book-061,"Pumping Nylon (1995, Alfred Pub Co)",Scott Tennant,pdf,12.0,96,scanned / OCR needed,Classical / Technique,Doing; Practice,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon (1995, Alfred Pub Co) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon (1995, Alfred Pub Co) - libgen.li.pdf"
book-id-062,book-062,"Pumping Nylon Easy to Early Intermediate Repertoire (1998, Alfred Publishing Company)",Scott Tennant,pdf,16.2,64,mixed / partial text,Classical / Technique,Doing; Practice,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon_ Easy to Early Intermediate Repertoire (1998, Alfred Publishing Company) - libgen.li.pdf",Already intake-triaged; follow priority queue,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon_ Easy to Early Intermediate Repertoire (1998, Alfred Publishing Company) - libgen.li.pdf"
book-id-063,book-069,study-en,,pdf,3.6,48,text-based / extraction likely good,Unclassified,To Review,Duplicate / Archive,Archive copy; keep out of active curriculum until deduped physically,No,dup-book-id-063,book-079,/Users/alessandralove/Downloads/LEARNING/study-en.pdf,Archive this duplicate path in catalogue only,/Users/alessandralove/Downloads/Guitar Resources/study-en.pdf
book-id-063,book-079,study-en,,pdf,3.6,48,text-based / extraction likely good,Unclassified,To Review,Private Library,Reference shelf / private library,Yes,dup-book-id-063,,/Users/alessandralove/Downloads/LEARNING/study-en.pdf,Use this copy as the working source,/Users/alessandralove/Downloads/LEARNING/study-en.pdf
book-id-064,book-049,"Speed Mechanics for Lead Guitar (1992, Hal Leonard Corporation)",Troy Stetina,pdf,17.5,80,scanned / OCR needed,Technique / Practice,Doing; Practice,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/[Stylistic Method] Troy Stetina - Speed Mechanics for Lead Guitar (1992, Hal Leonard Corporation) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/[Stylistic Method] Troy Stetina - Speed Mechanics for Lead Guitar (1992, Hal Leonard Corporation) - libgen.li.pdf"
book-id-065,book-037,"The Ultimate Guitar Chord Chart (1999, Hal Leonard Corporation)",Various,pdf,0.4,7,text-based / extraction likely good,Theory / Fretboard,Study; Knowing,Private Library,Reference shelf / private library,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ Various - The Ultimate Guitar Chord Chart (1999, Hal Leonard Corporation) - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/ Various - The Ultimate Guitar Chord Chart (1999, Hal Leonard Corporation) - libgen.li.pdf"
book-id-066,book-038,"Guitar Patterns For Improvisation (1971, Maher Publications)",William L Fowler,pdf,1.4,28,text-based / extraction likely good,Theory / Fretboard,Study; Knowing,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/ William L Fowler - Guitar Patterns For Improvisation (1971, Maher Publications) - libgen.li.pdf",Intake triage needed,"/Users/alessandralove/Downloads/Guitar Resources/ William L Fowler - Guitar Patterns For Improvisation (1971, Maher Publications) - libgen.li.pdf"
book-id-067,book-042,"A Modern Method for Guitar - Volumes 1, 2, 3 Complete (1999, Berklee Press Publications)",William Leavitt,pdf,5.4,125,mixed / partial text,Unclassified,To Review,To Review,Needs human review,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Methods] William Leavitt - A Modern Method for Guitar - Volumes 1, 2, 3 Complete (1999, Berklee Press Publications) - libgen.li.pdf",Already intake-triaged; follow priority queue,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Methods] William Leavitt - A Modern Method for Guitar - Volumes 1, 2, 3 Complete (1999, Berklee Press Publications) - libgen.li.pdf"
book-id-068,book-063,"Berklee Basic Guitar - Phase 1 Guitar Technique (Guitar Method) (1986, Berklee Press Publications)",William Leavitt,pdf,23.4,56,scanned / OCR needed,Technique / Practice,Doing; Practice,Supporting Reference,Supporting source for selected lessons or roadmap items,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ William Leavitt - Berklee Basic Guitar - Phase 1_ Guitar Technique (Guitar Method) (1986, Berklee Press Publications) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/Done/ William Leavitt - Berklee Basic Guitar - Phase 1_ Guitar Technique (Guitar Method) (1986, Berklee Press Publications) - libgen.li.pdf"
book-id-069,book-064,"Berklee Basic Guitar - Phase 2 Guitar Technique (Guitar Solo) (1986, Berklee Press Publications)",William Leavitt,pdf,10.8,64,scanned / OCR needed,Technique / Practice,Doing; Practice,OCR Later,Potential source after OCR,Yes,,,"/Users/alessandralove/Downloads/Guitar Resources/Done/ William Leavitt - Berklee Basic Guitar - Phase 2_ Guitar Technique (Guitar Solo) (1986, Berklee Press Publications) - libgen.li.pdf",OCR only after active sources are mapped,"/Users/alessandralove/Downloads/Guitar Resources/Done/ William Leavitt - Berklee Basic Guitar - Phase 2_ Guitar Technique (Guitar Solo) (1986, Berklee Press Publications) - libgen.li.pdf"
