book_identity_id,slug,title,author,format,text_quality,topic_category,skill_nodes,source_role,source_status,canonical_inventory_id,canonical_local_file,duplicate_file_count,notes
book-id-051,nelson-troy-guitar-aerobics-a-52-week-one-lick-per-day-workout-program-for-developing-improving-and-maintaining-guitar-technique-2007-hal-leonard-corporation,"Guitar Aerobics A 52-Week, One-lick-per-day Workout Program for Developing, Improving and Maintaining Guitar Technique (2007, HAL LEONARD CORPORATION)","Nelson, Troy",PDF,text-based / extraction likely good,Technique / Practice,Doing; Practice,Supporting source for selected lessons or roadmap items,Supporting Reference,book-058,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Nelson, Troy - Guitar Aerobics_ A 52-Week, One-lick-per-day Workout Program for Developing, Improving and Maintaining Guitar Technique (2007, HAL LEONARD CORPORATION) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-052,patrick-stefurak-guitar-building-blocks-1996,Guitar Building Blocks (1996),Patrick Stefurak,PDF,text-based / extraction likely good,Beginner / Reference,Foundation; Knowing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-059,/Users/alessandralove/Downloads/Guitar Resources/Done/ Patrick Stefurak - Guitar Building Blocks (1996) - libgen.li.pdf,1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-053,peckham-rick-berklee-jazz-guitar-chord-dictionary-berklee-guide-2007-berklee-college-licensed,"BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED)",PECKHAM RICK,PDF,text-based / extraction likely good,Style / Genre,Study; Knowing; Create; Doing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-041,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Guide] PECKHAM RICK - BERKLEE JAZZ GUITAR CHORD DICTIONARY (Berklee Guide) (2007, BERKLEE COLLEGE -LICENSED) - libgen.li.pdf",1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-054,peter-hollins-the-science-of-self-learning-how-to-teach-yourself-anything-learn-more-in-less-time-and-direct-your-own-education-learning-2018-ph-learning-inc,"The Science of Self-Learning How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.)",Peter Hollins,EPUB,EPUB / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Supporting source for selected lessons or roadmap items,Supporting Reference,book-076,"/Users/alessandralove/Downloads/LEARNING/ Peter Hollins - The Science of Self-Learning_ How to Teach Yourself Anything, Learn More in Less Time, and Direct Your Own Education (Learning (2018, PH Learning Inc.) - libgen.li.epub",1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-055,philip-ball-the-music-instinct-how-music-works-and-why-we-can-t-do-without-it-2010-oxford-university-press-usa,"The Music Instinct How Music Works and Why We Can't Do Without It (2010, Oxford University Press, USA)",Philip Ball,PDF,text-based / extraction likely good,Learning Science / Music Cognition,Study; Knowing; Hearth,Supporting source for selected lessons or roadmap items,Supporting Reference,book-077,"/Users/alessandralove/Downloads/LEARNING/ Philip Ball - The Music Instinct_ How Music Works and Why We Can't Do Without It (2010, Oxford University Press, USA) - libgen.li.pdf",1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-056,picture-chord-encyclopedia-photos-and-diagrams-for-over-2-600-guitar-chords-2000-hal-leonard-corporation,"Picture Chord Encyclopedia Photos & Diagrams for Over 2,600 Guitar Chords (2000, Hal Leonard Corporation)",,PDF,scanned / OCR needed,Unclassified,Study; Knowing,Reference shelf / private library,Private Library,book-034,"/Users/alessandralove/Downloads/Guitar Resources/ Picture Chord Encyclopedia_ Photos & Diagrams for Over 2,600 Guitar Chords (2000, Hal Leonard Corporation) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-057,ralph-denyer-the-guitar-handbook-1992-dorling-kindersley-knopf,"The Guitar Handbook (1992, Dorling Kindersley Knopf)",Ralph Denyer,PDF,scanned / OCR needed,Beginner / Reference,Foundation; Knowing,Potential source after OCR,OCR Later,book-060,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Ralph Denyer - The Guitar Handbook (1992, Dorling Kindersley_Knopf) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-058,renard-hoover-right-hand-development-for-jazz-guitar-1981-columbia-pictures-publications,"Right Hand Development For Jazz Guitar (1981, Columbia Pictures Publications)",Renard Hoover,PDF,text-based / extraction likely good,Style / Genre,Doing; Practice; Create,Supporting source for selected lessons or roadmap items,Supporting Reference,book-035,"/Users/alessandralove/Downloads/Guitar Resources/ Renard Hoover - Right Hand Development For Jazz Guitar (1981, Columbia Pictures Publications) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-059,rikky-rooksby-how-to-write-songs-on-guitar-a-guitar-playing-and-songwriting-course-2000-miller-freeman-books,"How to Write Songs on Guitar A Guitar-Playing and Songwriting Course (2000, Miller Freeman Books)",Rikky Rooksby,PDF,text-based / extraction likely good,Create / Composition,Create; Doing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-036,"/Users/alessandralove/Downloads/Guitar Resources/ Rikky Rooksby - How to Write Songs on Guitar_ A Guitar-Playing and Songwriting Course (2000, Miller Freeman Books) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-060,ross-bolton-funk-guitar-the-essential-guide-private-lessons-2001-musicians-institute-press,"Funk Guitar The Essential Guide (Private Lessons) (2001, Musicians Institute Press)",Ross Bolton,PDF,scanned / OCR needed,Style / Genre,Create; Doing,Potential source after OCR,OCR Later,book-048,"/Users/alessandralove/Downloads/Guitar Resources/[Private Lessons] Ross Bolton - Funk Guitar_ The Essential Guide (Private Lessons) (2001, Musicians Institute Press) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-061,scott-tennant-pumping-nylon-1995-alfred-pub-co,"Pumping Nylon (1995, Alfred Pub Co)",Scott Tennant,PDF,scanned / OCR needed,Classical / Technique,Doing; Practice,Supporting source for selected lessons or roadmap items,Supporting Reference,book-061,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon (1995, Alfred Pub Co) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-062,scott-tennant-pumping-nylon-easy-to-early-intermediate-repertoire-1998-alfred-publishing-company,"Pumping Nylon Easy to Early Intermediate Repertoire (1998, Alfred Publishing Company)",Scott Tennant,PDF,mixed / partial text,Classical / Technique,Doing; Practice,Supporting source for selected lessons or roadmap items,Supporting Reference,book-062,"/Users/alessandralove/Downloads/Guitar Resources/Done/ Scott Tennant - Pumping Nylon_ Easy to Early Intermediate Repertoire (1998, Alfred Publishing Company) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-063,study-en,study-en,,PDF,text-based / extraction likely good,Unclassified,To Review,Reference shelf / private library,Private Library,book-079,/Users/alessandralove/Downloads/LEARNING/study-en.pdf,1,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-064,troy-stetina-speed-mechanics-for-lead-guitar-1992-hal-leonard-corporation,"Speed Mechanics for Lead Guitar (1992, Hal Leonard Corporation)",Troy Stetina,PDF,scanned / OCR needed,Technique / Practice,Doing; Practice,Potential source after OCR,OCR Later,book-049,"/Users/alessandralove/Downloads/Guitar Resources/[Stylistic Method] Troy Stetina - Speed Mechanics for Lead Guitar (1992, Hal Leonard Corporation) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-065,various-the-ultimate-guitar-chord-chart-1999-hal-leonard-corporation,"The Ultimate Guitar Chord Chart (1999, Hal Leonard Corporation)",Various,PDF,text-based / extraction likely good,Theory / Fretboard,Study; Knowing,Reference shelf / private library,Private Library,book-037,"/Users/alessandralove/Downloads/Guitar Resources/ Various - The Ultimate Guitar Chord Chart (1999, Hal Leonard Corporation) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-066,william-l-fowler-guitar-patterns-for-improvisation-1971-maher-publications,"Guitar Patterns For Improvisation (1971, Maher Publications)",William L Fowler,PDF,text-based / extraction likely good,Theory / Fretboard,Study; Knowing,Supporting source for selected lessons or roadmap items,Supporting Reference,book-038,"/Users/alessandralove/Downloads/Guitar Resources/ William L Fowler - Guitar Patterns For Improvisation (1971, Maher Publications) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-067,william-leavitt-a-modern-method-for-guitar-volumes-1-2-3-complete-1999-berklee-press-publications,"A Modern Method for Guitar - Volumes 1, 2, 3 Complete (1999, Berklee Press Publications)",William Leavitt,PDF,mixed / partial text,Unclassified,To Review,Needs human review,To Review,book-042,"/Users/alessandralove/Downloads/Guitar Resources/[Berklee Methods] William Leavitt - A Modern Method for Guitar - Volumes 1, 2, 3 Complete (1999, Berklee Press Publications) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-068,william-leavitt-berklee-basic-guitar-phase-1-guitar-technique-guitar-method-1986-berklee-press-publications,"Berklee Basic Guitar - Phase 1 Guitar Technique (Guitar Method) (1986, Berklee Press Publications)",William Leavitt,PDF,scanned / OCR needed,Technique / Practice,Doing; Practice,Supporting source for selected lessons or roadmap items,Supporting Reference,book-063,"/Users/alessandralove/Downloads/Guitar Resources/Done/ William Leavitt - Berklee Basic Guitar - Phase 1_ Guitar Technique (Guitar Method) (1986, Berklee Press Publications) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
book-id-069,william-leavitt-berklee-basic-guitar-phase-2-guitar-technique-guitar-solo-1986-berklee-press-publications,"Berklee Basic Guitar - Phase 2 Guitar Technique (Guitar Solo) (1986, Berklee Press Publications)",William Leavitt,PDF,scanned / OCR needed,Technique / Practice,Doing; Practice,Potential source after OCR,OCR Later,book-064,"/Users/alessandralove/Downloads/Guitar Resources/Done/ William Leavitt - Berklee Basic Guitar - Phase 2_ Guitar Technique (Guitar Solo) (1986, Berklee Press Publications) - libgen.li.pdf",0,Generated from local master inventory v2. Confirm title/author metadata before production import.
